iter	Passed	Remaining
713	31488	12612
714	31536	12570
715	31582	12527
716	31631	12484
717	31678	12442
718	31724	12398
719	31773	12356
720	31819	12313
721	31865	12269
722	31911	12226
723	31956	12182
724	32004	12139
725	32043	12093
726	32092	12051
727	32142	12009
728	32186	11964
729	32230	11920
730	32274	11876
731	32321	11833
732	32362	11788
733	32408	11744
734	32454	11701
735	32498	11656
736	32545	11614
737	32584	11567
738	32617	11520
739	32664	11476
740	32712	11433
741	32756	11389
742	32801	11345
743	32841	11300
744	32886	11256
745	32930	11212
746	32972	11167
747	33013	11122
748	33045	11073
749	33093	11031
750	33140	10988
751	33188	10945
752	33234	10901
753	33280	10858
754	33324	10813
755	33360	10767
756	33406	10723
757	33449	10679
758	33494	10635
759	33535	10590
760	33581	10546
761	33625	10502
762	33664	10456
763	33705	10411
764	33749	10367
765	33796	10324
766	33840	10280
767	33881	10235
768	33932	10192
769	33982	10150
770	34028	10106
771	34070	10062
772	34120	10019
773	34162	9975
774	34199	9928
775	34238	9883
776	34283	9839
777	34330	9796
778	34369	9750
779	34415	9707
780	34456	9661
781	34506	9619
782	34551	9575
783	34597	9531
784	34640	9487
785	34684	9443
786	34730	9399
787	34774	9355
788	34823	9312
789	34870	9269
790	34911	9224
791	34957	9180
792	34998	9135
793	35044	9092
794	35095	9049
795	35144	9006
796	35189	8962
797	35234	8919
798	35282	8875
799	35330	8832
800	35369	8787
801	35413	8743
802	35457	8698
803	35500	8654
804	35548	8611
805	35596	8567
806	35639	8523
807	35681	8478
808	35727	8435
809	35771	8390
810	35814	8346
811	35853	8301
812	35899	8257
813	35948	8214
814	35992	8169
815	36036	8125
816	36085	8082
817	36133	8039
818	36179	7995
819	36223	7951
820	36264	7906
821	36307	7862
822	36352	7818
823	36400	7774
824	36447	7731
825	36484	7685
826	36524	7640
827	36557	7594
828	36601	7549
829	36649	7506
830	36690	7461
831	36735	7417
832	36781	7374
833	36827	7330
834	36872	7286
835	36919	7242
836	36963	7198
837	37010	7154
838	37063	7112
839	37109	7068
840	37152	7024
841	37192	6979
842	37237	6935
843	37285	6891
844	37321	6845
845	37368	6802
846	37414	6758
847	37454	6713
848	37495	6668
849	37542	6625
850	37587	6581
851	37632	6537
852	37672	6492
853	37716	6448
854	37760	6403
855	37802	6359
856	37844	6314
857	37889	6270
858	37933	6226
859	37975	6181
860	38029	6139
861	38074	6095
862	38113	6050
863	38162	6007
864	38215	5964
865	38261	5920
866	38306	5876
867	38350	5832
868	38394	5787
869	38431	5742
870	38475	5698
871	38522	5654
872	38567	5610
873	38613	5566
874	38660	5522
875	38705	5478
876	38749	5434
877	38796	5390
878	38838	5346
879	38886	5302
880	38932	5258
881	38978	5214
882	39026	5171
883	39079	5128
884	39122	5083
885	39162	5038
886	39208	4995
887	39253	4950
888	39299	4906
889	39345	4862
890	39383	4817
891	39423	4773
892	39471	4729
893	39514	4685
894	39561	4641
895	39607	4597
896	39647	4552
897	39698	4509
898	39746	4465
899	39793	4421
900	39839	4377
901	39885	4333
902	39929	4289
903	39970	4244
904	40010	4199
905	40059	4156
906	40104	4112
907	40150	4068
908	40198	4024
909	40243	3980
910	40286	3935
911	40334	3891
912	40381	3847
913	40431	3804
914	40478	3760
915	40518	3715
916	40564	3671
917	40608	3627
918	40651	3582
919	40694	3538
920	40733	3493
921	40778	3449
922	40825	3405
923	40871	3361
924	40915	3317
925	40962	3273
926	41009	3229
927	41058	3185
928	41104	3141
929	41153	3097
930	41197	3053
931	41243	3009
932	41283	2964
933	41332	2920
934	41380	2876
935	41427	2832
936	41472	2788
937	41518	2744
938	41563	2700
939	41604	2655
940	41647	2611
941	41692	2567
942	41740	2523
943	41790	2479
944	41832	2434
945	41878	2390
946	41927	2346
947	41969	2302
948	42014	2257
949	42059	2213
950	42108	2169
951	42152	2125
952	42200	2081
953	42240	2036
954	42280	1992
955	42329	1948
956	42374	1903
957	42421	1859
958	42461	1815
959	42508	1771
960	42554	1726
961	42602	1682
962	42648	1638
963	42700	1594
964	42748	1550
965	42795	1506
966	42843	1462
967	42894	1417
968	42941	1373
969	42988	1329
970	43039	1285
971	43088	1241
972	43134	1196
973	43183	1152
974	43231	1108
975	43284	1064
976	43335	1020
977	43377	975
978	43423	931
979	43448	886
980	43491	842
981	43527	797
982	43573	753
983	43619	709
984	43666	664
985	43708	620
986	43755	576
987	43803	532
988	43847	487
989	43888	443
990	43940	399
991	43987	354
992	44033	310
993	44082	266
994	44122	221
995	44169	177
996	44213	133
997	44258	88
998	44303	44
999	44344	0
